FINANSAL MUHASEBE - KONU KONU DURUM  (10.09.2026 21:50)
plan konusu: 290 · kasadaki FMuh sorusu: 7205
tam = konu adi BIREBIR ayni · gevsek = ad icinde geciyor
==============================================================================
KONU                                                  plan    tam  gevsek
muhasebe akis semasi                                     9      0       0
muhasebe sistemi bakimi                                  5      0       0
nakit akis brut raporlama                                6      0       0
nakit denetimi                                           4      0       0
olagandisi gelir siniflandirma                           5      0       0
onemlilik dagitimi                                       6      0       0
ozel maliyet tahliye kaydi                               4      0       0
ozkaynak hesaplari                                       6      0       0
ozkaynak negatif analizi                                 9      0       0
ozkaynak tutari hesaplama                                5      0       0
para arzi-acik piyasa islemleri                          1      0       0
pasif duzenleyici hesap                                  4      0       0
risk degerlendirme prosedurleri                          4      0       0
satilan ticari mal maliyeti                              4      0       0
satin alma iskontosu                                     5      0       0
satistan iade stok girisi                                6      0       0
senet iskonto ettirme                                    9      0       0
serefiye hesaplama                                       5      0       0
sigortali varlik kaybi                                   9      0       0
siparis avansi satis kaydi                               5      0       0
standart maliyet farklari                                6      0       0
standart maliyet sapma analizi                           4      0       0
standart oranlar                                         4      0       0
stok denetimi                                            6      0       0
surdurulebilirlik standartlari issb                      9      0       0
surekli dosya icerigi                                    4      0       0
tahvil hisse donusumu                                    5      0       0
tasit aktiflestirme bakim                                3      0       0
temel muhasebe kavramlari                                6      0       0
temettu geliri tahakkuku                                 4      0       0
tms 16 amortisman                                        6      0       0
tsrs surdurulebilirlik standardi                         5      0       0
ucuncu taraf stok denetimi                               4      0       0
uluslararasi etik kurulu                                 9      0       0
uluslararasi muhasebe kuruluslari                        4      0       0
uretim maliyeti hesaplama                                6      0       0
yari mamul maliyeti                                      6      0       0
yatay analiz degisim yuzdesi                             4      0       0
yeralti yerustu duzenleri                                5      0       0
yonetim beyanlari                                        6      0       0
yonetim iddialari                                        6      0       0
denetim kaniti guvenilirligi                            48      0       1
dupont ozkaynak karliligi                                4      0       1
fifo hammadde stok degerleme                             5      0       1
genel mizan                                              4      0       1
reeskont islemleri                                       5      0       1
reeskont vade sonu kaydi                                 4      0       1
standart maliyet sapmasi                                 6      0       1
stokta kalma suresi hesabi                               4      0       1
nazim hesaplar                                           6      0       2
siparis avansi mahsubu                                   5      0       2
isletmenin surekliligi                                   6      0       3
borclanma maliyetleri aktiflestirme                      5      0       4
alinan siparis avanslari                                 4      0       5
bagli menkul kiymetler kaydi                             5      0       5
satis amacli duran varlik                                3      0       7
azalan bakiyeler amortisman yontemi                      4      0       8
muhasebe politikalari                                    5      0       8
tahakkuk esasi                                           4      0       8
yedek akce ayirma                                        9      0      13
aktiflestirilmis giderler                                4      1       0
aralikli envanter yontemi                                4      1       0
depozitolu kap kirilmasi kaydi                           6      1       0
donem ayirici hesaplar                                   4      1       0
donem kâr zarar hesabi                                   4      1       0
duran varlik (sabit kiymet) satisi kaydi                 3      1       0
duran varlik karliligi                                   5      1       0
finansal raporlama cercevesi uygunlugu                   3      1       0
gelir tablosu                                            4      1       0
hasilat kavrami                                          6      1       0
hatali kayit duzeltme                                   12      1       0
hisse senedi deger dusuklugu                             9      1       0
kar dagitimi                                             8      1       0
kar dagitimi yedek akce                                  9      1       0
kâr yedekleri                                            4      1       0
kasa kambiyo kur farki                                   6      1       0
kisilik kavrami                                          4      1       0
muhasebe bilgi sistemi kontrolleri                       5      1       0
muhasebe tahmini degisikligi                             4      1       0
muhasebe temel kavramlari                                4      1       0
nakit girisi surecleri                                   9      1       0
olagan kar zarar hesaplama                               9      1       0
ozel maliyet amortismani                                 4      1       0
ozkaynak degisimi                                       12      1       0
satis dongusu maddi dogruluk testi                       5      1       0
senet ile mal alisi                                      5      1       0
supheli alacak kaydi                                     4      1       0
tahvil faiz tahakkuku                                    3      1       0
tahvil satin alma                                        6      1       0
tms 1 finansal tablolar                                  4      1       0
tms 2 stok degerleme                                     4      1       0
tms 38 ar-ge aktiflestirme                               9      1       0
aktiflesen gider                                        11      2       0
amortisman yontemi degisimi                             13      2       0
brut satis kâri                                          6      2       0
depozito iadesi kaydi                                    8      2       0
donem sonu duzeltme kaydi                                4      2       0
donemsellik kavrami                                     31      2       0
duran varlik hesap gruplari                              5      2       0
finansman bonosu ihraci                                  8      2       0
gelecek aylara ait gider kapanisi                        4      2       0
hazine bonosu tahsili                                    6      2       0
kesin mizan bakiye                                       4      2       0
kollektif sirket kar dagitimi                            8      2       0
kontrol cevresi unsurlari                                9      2       0
kontrol testleri                                         4      2       0
net isletme sermayesi                                   54      2       0
normal amortisman yontemi                                4      2       0
oz kaynak toplami hesabi                                 4      2       0
police muhasebelestirme                                  5      2       0
satis dongusu kontrol testi                              4      2       0
sermaye yedekleri hesaplama                              9      2       0
stok degerleme yontemi                                   4      2       0
tahvil ihraci-iskonto                                    9      2       0
tfrs 15 hasilat olcumu                                   5      2       0
tfrs 3 negatif serefiye                                  5      2       0
tfrs 5 satis amacli duran varlik                         4      2       0
ticari mal satis kaydi                                   5      2       0
tms 29 yuksek enflasyon                                  4      2       0
tms 40 yatirim gayrimenkul                               4      2       0
tms 8 muhasebe tahmini                                   4      2       0
ucret bordrosu kaydi                                     9      2       0
alacak senedi yenileme                                   6      3       0
banka kredisi geri odemesi                               6      3       0
brut satis kari degisimi                                 5      3       0
donem kâri zarari devri                                  9      3       0
donem net kâri hesaplama                                 9      3       0
duran varlik alim kaydi                                  5      3       0
fifo stok degerleme                                      4      3       0
finansal raporlama degerlendirmesi                       3      3       0
gelir tablosu kalemleri                                  4      3       0
gelir-gider hesaplari isleyisi                           4      3       0
gider yeri dagitimi                                      4      3       0
menkul kiymet (hisse senedi) satis kaydi                 5      3       0
onemlilik kavrami denetim                                4      3       0
tfrs 16 kullanim hakki                                   4      3       0
tms 36 deger dusuklugu testi                             5      3       0
alacak senetleri                                         5      4       0
avans mahsup kaydi                                       4      4       0
fifo yontemi                                             6      4       0
gelir tablosu ilkeleri                                   4      4       0
gelir tahakkuku kaydi                                    3      4       0
hesap isleyisi                                           6      4       0
ifac bunyesindeki kuruluslar                             5      4       0
maddi olmayan duran varlik (haklar)                      9      4       0
satistan iade-surekli envanter                           9      4       0
sermaye artirimi hisse satisi                            9      4       0
sermaye artirimi kaydi                                   5      4       0
tms 27 bagli ortaklik olcumu                             4      4       0
tms 8 muhasebe politikasi degisikligi                    4      4       0
tutarlilik kavrami                                      10      4       0
amortisman yontemleri                                    6      5       0
karsilik gideri kaydi (ikramiye)                         9      5       0
mevduat faizi-onceki donem                               9      5       0
sermaye artirimi-ic kaynaklar                            4      5       0
tfrs 15 hasilat adimlari                                 3      5       0
tms 1 finansal tablo sunumu                              5      5       0
tms 24 iliskili taraflar                                 3      5       0
faaliyet kâri hesaplama                                 32      6       0
gelecek yillara ait gelirler                             4      6       0
gelir tablosu hesaplari                                  5      6       0
hisse senedi ihraci                                      4      6       0
kademeli dagitim yontemi                                 8      6       0
menkul kiymet deger dusuklugu                            5      6       0
muhasebe bilgi sistemi sureci                            5      6       0
onemlilik kavrami                                        6      6       0
ozkaynak hesaplama                                      29      6       0
reeskont kaydi                                           4      6       0
sermaye artirimi-ihrac primi                             9      6       0
stopaj kesintisi-kira gideri                             9      6       0
tms 36 deger dusuklugu                                  36      6       0
tms 36 deger dusuklugu kapsami                           4      6       0
ust yonetimle iletisim                                   6      6       0
azalan bakiyeler amortisman                              6      7       0
donem kari hesaplama                                     6      7       0
faaliyet kari hesaplama                                  4      7       0
muhasebe bilgi sistemi girdi                             5      7       0
sermaye taahhudu-hisse iptali                            4      7       0
tfrs 9 finansal yukumluluk olcumu                        4      7       0
duran varlik satisi                                      7      8       0
gelecek aylara ait gelir                                 5      8       0
gelecek yillara ait giderler                             6      8       0
kâr dagitimi yedekler                                    5      8       0
tms 28 istirakler                                        6      8       0
tutarlilik ilkesi                                        6      8       0
gider tahakkuklari                                       4      9       0
nakit akis tablosu                                      46      9       0
tasima gideri kaydi                                      4      9       0
tfrs 10 kontrol gucu olmayan paylar                      4      9       0
alacaklar kontrol testleri                               4     10       0
stok deger dusuklugu                                     6     11       0
kar dagitimi kaydi                                      32     12       0
sermaye artirimi ihrac primi                             4     12       0
tms 38 maddi olmayan duran varlik                       36     12       0
toplulastirma riski                                     13     13       0
yapilmakta olan yatirimlar                               4     13       0
senet iskonto kaydi                                      9     14       0
standart iscilik sure sapmasi                            4     15       0
sermaye artirimi                                        42     16       0
alacak senetleri reeskontu                               3     17       0
tms 40 yatirim amacli gayrimenkul                       45     17       0
menkul kiymet alimi                                      4     18       0
kesin mizan hesap kalani                                 5     19       0
muhasebe bilgi sistemi                                  56     20       0
tms 2 stoklar                                           29     20       0
kasa sayim farki                                         8     21       0
kredi faiz tahakkuku                                     8     21       0
satis iskontosu kaydi                                    9     24       0
menkul kiymet satisi                                     5     25       0
amortisman ayirma                                        7     26       0
hisse senedi iptali                                      4     26       0
gelir tahakkuku                                         30     27       0
gider tahakkuku                                         42     29       0
gelecek aylara ait giderler                              8     32       0
hisse senedi satisi                                     42     32       0
tms 16 maliyet bedeli                                    4     33       0
satilan ticari mallar maliyeti                           4     44       0
donem kari zarari hesabi                                 6     60       0
gelecek aylara ait gider                                 6     85       0
supheli alacak karsiligi                                 8     95       0
