"ders","konu","agirlik","notVar","gerekce"
"Hukuk","hakkin kazanilmasi yollari","1","False","Parçalar 'hakkın kazanılması yolları' konusunu (zamanaşımı, hükmen/hukuki işlemle kazanma vb.) doğrudan anlatmıyor."
"Hukuk","hakkin korunmasi dava turleri","1","False","Parçalar hakkın korunması dava türlerini (eda, tespit, inşai dava vb.) doğrudan tanımlamıyor; ilgisiz konular içeriyor."
"Hukuk","hakkin kotuye kullanilmasi","1","False","Sadece TBK m.434 fesih hakkının kötüye kullanılmasını içeriyor; tek başına yeterli, güvenilir soru üretmek için diğer destek yetersiz."
"Hukuk","hizmet akdi borclari","1","True","Hiçbir parça hizmet akdi taraflarının borçlarını (ücret, özen, sadakat vb.) doğrudan düzenlemiyor."
"Hukuk","hizmet akdi turleri","1","False","Hiçbir parça hizmet akdi türlerinin tanımını, unsurlarını veya ayrımını doğrudan açıklamıyor."
"Hukuk","hukuk devleti","1","False","Hiçbir parça hukuk devleti ilkesini tanımlayıp doğrudan anlatmıyor; sadece 'devlet' kelimesi geçiyor."
"Hukuk","hukuk kaynaklari hiyerarsisi","1","False","Hiçbir parça hukuk kaynakları hiyerarşisini (normlar hiyerarşisi) doğrudan anlatmıyor; farklı somut hükümler işleniyor."
"Hukuk","hukuk kaynaklari siralamasi","1","False","Parçalar farklı konuları düzenliyor; hiçbiri hukuk kaynakları sıralaması (normlar hiyerarşisi) konusunu anlatmıyor."
"Hukuk","hukukta bosluk ve takdir yetkisi","1","False","Parçalar tescil, sorumluluk, izin gibi konuları içeriyor; hukukta boşluk/takdir yetkisini doğrudan anlatan yok."
"Hukuk","hukukun yazili kaynaklari","1","False","Parçalar TTK/TBK'nın belirli maddelerini anlatıyor; hukukun yazılı kaynaklarını (kanun, tüzük, yönetmelik vb. hiyerarşisi) doğrudan tanımlayan içerik yok."
"Hukuk","idareye basvuruda cevap suresi","1","False","Hiçbir parça idareye başvuruda cevap süresini (İYUK md.) doğrudan anlatmıyor; tamamı TTK/TBK maddeleri."
"Hukuk","idari dava acma suresi","1","False","Hiçbir parça idari dava açma süresini doğrudan düzenlemiyor; ilgisiz konular içeriyor."
"Hukuk","idari islem degisiklik talebi","1","True","Hiçbir parça idari işlem değişikliği talebi kuralını doğrudan anlatmıyor; ilgisiz konular içeriyor."
"Hukuk","idari islem kaldirilmasi basvurusu","1","True","Hiçbir parça idari işlemin geri alınması/kaldırılması başvurusunu doğrudan anlatmıyor; ilgisiz konular içeriyor."
"Hukuk","idari para cezasi uygulamasi","1","False","Parçalar idari para cezasını tanımlamıyor; sadece borç varlığından bahsediyor veya konuyla ilgisiz maddeler (İYUK usul hükümleri) içeriyor."
"Hukuk","idari yargi basvuru yollari","1","False","Hiçbir parça idari yargı başvuru yollarını (iptal/tam yargı davası, süre, dava şartı) düzenlemiyor; TTK/TBK maddeleri ilgisiz."
"Hukuk","idari yargi ilk inceleme","1","False","Parçalar TTK/TBK hükümleri; hiçbiri idari yargılamada ilk inceleme konusunu anlatmıyor."
"Hukuk","idari yargi karari icrasi","1","False","Parçalar TTK/TBK maddeleri; idari yargı kararı icrası hakkında hüküm yok."
"Hukuk","idari yargi kararlarinin uygulanmasi","1","False","Hiçbir parça idari yargı kararlarının uygulanması konusunu doğrudan anlatmıyor; TTK/TBK hükümleri farklı konular."
"Hukuk","idari yargi sureleri","1","False","Parçalar TTK ve TBK hükümleri; idari yargılama sürelerine ilişkin doğrudan kural içermiyor."
"Hukuk","idari yargi ve vergi yargilamasi","1","False","Parçalar TTK/TBK hükümleri; idari yargı ve vergi yargılaması usulünü doğrudan anlatan içerik yok."
"Hukuk","idari yargida dava acma suresi","1","False","Parçalar TTK ve TBK maddeleri; idari yargıda dava açma süresini düzenleyen hüküm yok."
"Hukuk","ihtiyati haciz","1","False","Hiçbir parça ihtiyati haciz kurumunu tanımlamıyor veya düzenlemiyor; konuyla ilgisiz metinler."
"Hukuk","ihtiyati haciz sartlari","1","False","Paketteki hiçbir parça ihtiyati haciz şartlarını (İİK) doğrudan anlatmıyor; hepsi başka konular."
"Hukuk","is kanunu isveren kapsami","1","False","Parçalar İş Kanunu'nda işveren kapsamını doğrudan tanımlamıyor; TTK/TBK genel hükümler ve hizmet sözleşmesi konularını içeriyor."
"Hukuk","is kanunu yonetmelik yetkisi","1","False","Paket İş Kanunu'nun yönetmelik çıkarma yetkisine ilişkin madde içermiyor; TTK/TBK maddeleri ilgisiz."
"Hukuk","is sozlesmesi feshi","1","False","Belirli/belirsiz süreli sözleşme tanımını anlatıyor, fesih kuralı içermiyor."
"Hukuk","is sozlesmesi yazili sekil","1","False","Hiçbir parça iş sözleşmesinin yazılı şekil kuralını doğrudan düzenlemiyor."
"Hukuk","isyeri bildirge suresi","1","False","Hiçbir parça işyeri bildirge süresini (SSK/Bağ-Kur mevzuatı) doğrudan anlatmıyor."
"Hukuk","isyeri bildirimi","1","False","Hiçbir parça 'işyeri bildirimi' (SSK/Bağ-Kur işyeri bildirgesi) konusunu anlatmıyor; hepsi başka konular."
"Hukuk","kambiyo senetleri ozellikleri","1","False","Sadece m.670 borçlanma ehliyetine değiniyor; kambiyo senetlerinin temel özelliklerini (kayıtsız şartsızlık, tanımlar) anlatan parça yok."
"Hukuk","kidem tazminati","1","False","Hiçbir parça kıdem tazminatının koşul, hesaplama veya tavanını doğrudan düzenlemiyor."
"Hukuk","kidem tazminati kosullari","1","False","Parçalar fesih bildirimi, ayrımcılık, vazife malullüğü vb. konuları anlatıyor; kıdem tazminatı koşulları doğrudan işlenmiyor."
"Hukuk","kira sozlesmesi sureleri ve feshi","1","False","Bu parça iş sözleşmesi süresini anlatıyor, kira sözleşmesi süreleri/feshiyle ilgisiz."
"Hukuk","kira sozlesmesi tanimi","1","False","Sadece m.298 kira sözlesmesi bölüm başlığını gösteriyor, tanım metni kesilmiş, içerik yok."
"Hukuk","kiymetli evrak zayi","1","True","Parçalar soyutluk ve ciro şeklini anlatır; zayi/iptal prosedürünü açıklayan içerik yok."
"Hukuk","kollektif sirket tur degistirme","1","True","Pakette kollektif şirketin tür değiştirmesini doğrudan düzenleyen TTK hükmü yok; geç.4 ve TBK 203 dolaylı/başka konulardır."
"Hukuk","komandit sirket ticaret unvani","1","False","Parça anonim şirket yönetim kurulu görevlerini anlatıyor, komandit şirket unvanı ile ilgisiz."
"Hukuk","meb osym sinav dava acma suresi","1","False","Parça sağlık sigortasını anlatıyor, MEB/ÖSYM dava açma süresiyle ilgisi yok."
"Hukuk","posta ucreti eksikligi","1","False","Hiçbir parça 'posta ücreti eksikliği' konusunu (örn. idari yargılamada tebligat/posta ücreti) doğrudan içermiyor."
"Hukuk","sgk bildirim sureleri","1","False","Parçalar TTK tür değiştirme hükümlerini anlatıyor; SGK bildirim süreleriyle ilgisi yok."
"Hukuk","sgk ise giris bildirgesi","1","False","Hiçbir parça SGK işe giriş bildirgesi kuralını, süresini ya da usulünü doğrudan anlatmıyor."
"Hukuk","sigortasiz calistirma cezasi","1","False","Hiçbir parça sigortasız çalıştırma cezasını (idari para cezası, m.102 vb.) doğrudan düzenlemiyor."
"Hukuk","sozlesmede hukumsuzluk","1","False","Parçalar hükümsüzlüğün tanım/kuralını doğrudan içermiyor; sadece başlık veya dolaylı atıflar var."
"Hukuk","tacir tanimi","1","False","Parçalar tacir tanımını doğrudan içermiyor; tacire atıf yapan başka hükümler."
"Hukuk","tasima sozlesmesi zamanasimi","1","False","Hiçbir parça taşıma sözleşmesi veya zamanaşımı süresini doğrudan düzenlemiyor; hepsi ilgisiz konular."
"Hukuk","ticaret sicili tescil suresi","1","False","Parçalar ticaret sicili tescil süresini düzenlemiyor; geçici maddeler ve TBK hükümleri konuyla doğrudan ilgisiz."
"Hukuk","ticaret unvani koruma","1","True","Hiçbir parça ticaret unvanının korunması kuralını doğrudan anlatmıyor; tesadüfi geçişler var."
"Hukuk","ticari dava gorevli mahkeme","1","False","Sadece geçici m.9 göreve ilişkin geçiş hükmünü verir; ticari dava/görevli mahkeme tanımı ve TTK m.4/5 eksik."
"Hukuk","ticari isletme devri","1","False","Parçalar defter tutma ve limited şirket ortaklıktan çıkma/ayrılma akçesini düzenliyor; ticari işletme devrini içermiyor."
"Hukuk","ticari isletme sube","1","False","Hiçbir parça ticari işletme veya şube kavramını tanımlamıyor/düzenlemiyor."
"Hukuk","ticari orf ve adet","1","False",""
"Hukuk","toplu isci cikarma bildirimi","1","False","Hiçbir parça toplu işçi çıkarma bildirimini düzenlemiyor; TTK/TBK başka konular içeriyor."
"Hukuk","vergi dava acma suresi","1","False","Parçalar TTK/maliye teorisi içeriyor; vergi dava açma süresini doğrudan anlatan yok."
"Hukuk","vergi davasi yurutmeyi durdurma","1","False","Parçalar TTK/TBK hükümleri; hiçbiri vergi davası veya yürütmeyi durdurma kavramını doğrudan düzenlemiyor."
"Hukuk","yazili is sozlesmeleri","1","False","Hiçbir parça İş K. m.8 yazılı iş sözleşmesi kuralını doğrudan anlatmıyor; sadece dolaylı, ilgisiz konular içeriyor."
"Hukuk","yeni is arama izni","1","False","Hiçbir parça 'yeni iş arama izni' kuralını (İş K. m.27) düzenlemiyor; hepsi başka konular."
"Hukuk","yenilik doguran hak","1","False","Parçalar 'yenileme' (novasyon) veya başka konuları anlatıyor; 'yenilik doğuran hak' kavramını tanımlayan içerik yok."
"Hukuk","yetkili vergi mahkemesi","1","False","Hiçbir parça yetkili vergi mahkemesi kuralını (İYUK) doğrudan anlatmıyor; hepsi TTK/TBK konuları."
"Vergi","kurumlar vergisi matrahi","9","True","Parçalar mükellefiyet/çifte vergileme teorisini anlatıyor; matrahın tespiti/hesabına dair kural yok."
"Vergi","asgari gecim indirimi","2","False","Hiçbir parça asgari geçim indirimini doğrudan tanımlamıyor/açıklamıyor; tümü başka konulara ilişkin."
"Vergi","beyanname turu","2","False","Parçalar istisna, harç, ticari kazanç tespiti konularını anlatıyor; beyanname türünü doğrudan tanımlayan yok."
"Vergi","defter beyan sistemi","2","False","Hiçbir parça defter beyan sistemini doğrudan anlatmıyor; VUK ve Harçlar Kanunu farklı konular."
"Vergi","finansman gider kisitlamasi","2","True","Hiçbir parça finansman gider kısıtlaması (KVK/GVK md.41-11i) kuralını doğrudan anlatmıyor."
"Vergi","gecici vergi uygulamasi","2","True","Hiçbir parça geçici vergi uygulamasını (hesaplama, oran, beyan, mahsup) doğrudan anlatmıyor."
"Vergi","ihrac kaydiyla teslim tecil terkin","2","True","Parçalar AATUHK teminat/tecil ve Harçlar Kanunu istisnalarını anlatıyor; KDV ihraç kaydıyla teslim tecil-terkin mekanizması yok."
"Vergi","telif kazanci istisnasi","2","False","Parçalar KDV, Harçlar ve Veraset Vergisi kanunlarından; telif kazancı istisnasını (GVK m.18) içeren parça yok."
"Vergi","aciz hali","1","False","Hiçbir parça 'aciz hali' kavramını tanımlamıyor veya doğrudan düzenlemiyor; ilgisiz konular içeriyorlar."
"Vergi","aciz hali aatuhk","1","False","AATUHK aciz hali ile ilgili hiçbir parça yok; hepsi VUK/GVK/KVK başka konular."
"Vergi","adi sirket komandit sirket","1","True","Hiçbir parça adi şirket veya komandit şirketin tanım, vergilendirme kuralını doğrudan içermiyor."
"Vergi","amme alacagi sahsi kefalet","1","False","Hiçbir parça şahsi kefalet kurumunu (kefilin sorumluluğu, şartları) doğrudan anlatmıyor."
"Vergi","arazi tasiti tanimi","1","False","Kaynaklar arazi kıymeti tespiti, ihbarname, ticari/zirai kazanç vb. konular; 'arazi taşıtı' tanımını içeren parça yok."
"Vergi","bilanco tanimi","1","True","Hiçbir parça bilançonun tanımını (varlık=kaynak eşitliği/tanımsal içerik) doğrudan anlatmıyor; hepsi başka konular."
"Vergi","bugday kdv orani","1","False","Parçalar buğday KDV oranını değil, tarh, ödeme ve kısmi bölünme konularını içeriyor."
"Vergi","ceza kesmede zamanasimi","1","False","Parçalar izaha davet, temsilci sorumluluğu, harçlar; ceza kesmede zamanaşımı süresini/hesabını doğrudan anlatan yok."
"Vergi","dar mukellef deger artis kazanci","1","False","Parçalar dar mükellefiyet genel esaslarını veya harçları anlatır; değer artış kazancı hesabı/tanımı yok."
"Vergi","dar mukellef kurum vergilendirme","1","True","Konu dar mükellef KURUM (KVK) vergilendirmesi; kaynaklar GVK gerçek kişi ve Harçlar K. hükümleri, kurumlar vergisiyle ilgisiz."
"Vergi","defter belge muhafaza suresi","1","False","Hiçbir parça defter belge muhafaza süresini (VUK m.253/253 mükerrer, TTK 82) doğrudan düzenlemiyor."
"Vergi","defter beyan sistemi kapsami","1","False","Hiçbir parça defter beyan sistemi kapsamını doğrudan anlatmıyor; VUK ve Harçlar Kanunu maddeleri farklı konulara ilişkin."
"Vergi","devir tarihi tespiti","1","False","Hiçbir parça kurumlar vergisi devir işlemlerinde devir tarihinin tespitini doğrudan anlatmıyor."
"Vergi","dijital hizmet vergisi matrahi","1","False","Hiçbir parça Dijital Hizmet Vergisi matrahını tanımlamıyor; DHV kanunuyla ilgisiz VUK/GVK/KVK maddeleri."
"Vergi","emlak vergisi mukellefiyet baslangici","1","False","Parçalar VUK, GVK maddeleri; emlak vergisi mükellefiyetin başlangıcı kuralını doğrudan anlatan yok."
"Vergi","gayrimenkul degerleme maliyet bedeli","1","True","Parçalar VUK m.274 maliyet bedeli tanımını içermiyor; envanter, harç, izah davet gibi başka konular anlatılıyor."
"Vergi","gecici vergi hesabi","1","True","Hiçbir parça geçici vergi hesabını doğrudan anlatmıyor; farklı konular (VUK, GVK, TMS 12) işleniyor."
"Vergi","gelir vergisi beyanname cesitleri","1","True","Hiçbir parça beyanname çeşitlerini (yıllık, muhtasar vb.) doğrudan anlatmıyor."
"Vergi","hacizde istihkak iddiasi","1","False","Hiçbir parça hacizde istihkak iddiasını (m.66 vb.) doğrudan düzenlemiyor; m.12 sadece dolaylı atıf içeriyor."
"Vergi","hisse degisimi","1","True","Hiçbir parça hisse değişimi (kurumlar vergisi kapsamındaki birleşme/devir işlemi) konusunu anlatmıyor."
"Vergi","hisse degisimi kvk","1","True","Hiçbir parça hisse değişimi (KVK m.19-20) kurumunu doğrudan anlatmıyor; ilgisiz konular."
"Vergi","iliskili kisi emsallere uygunluk","1","False","Hiçbir parça ilişkili kişi/emsallere uygunluk konusunu içermiyor; farklı VUK/GVK maddeleri."
"Vergi","isyeri kira geliri beyani","1","False","Parçaların hiçbiri işyeri kira geliri beyanına ilişkin kural/hesaplama içermiyor; m.21 sadece mesken istisnasını anlatıyor."
"Vergi","kdv beyannamesi hesaplama","1","True","Parçalar KDV beyannamesi hesaplama yöntemini içermiyor; tarh/ödeme süresi ve ÖTV/GVK hükümleri var."
"Vergi","kdv hizmet sayilan haller","1","False","Parçalar KDV'de tarh, ödeme, geçici istisnalar, ÖTV, MTV konularını içeriyor; hizmet sayılan haller anlatılmıyor."
"Vergi","kdv hizmet tanimi","1","True","Hiçbir parça KDV'de hizmet tanımını (m.4) doğrudan içermiyor; tarh, ödeme, istisna maddeleri farklı konular."
"Vergi","kdv matraha dahil olmayan unsurlar","1","False","Hiçbir parça KDV matraha dahil olmayan unsurları (m.24/25) doğrudan anlatmıyor."
"Vergi","kdv ozel matrah sekilleri","1","False","Hiçbir parça KDV özel matrah şekillerini (m.23 vb.) düzenlemiyor; ilgisiz konular."
"Vergi","kdv tam kismi istisna","1","False","Hiçbir parça tam/kısmi istisna tanımı veya yöntemini içermiyor; farklı kanun/madde konuları."
"Vergi","komanditer kazanc unsuru","1","False","Parçalar komandite ortakları veya genel hükümleri içeriyor; komanditerin kazanç unsurunu tanımlayan hüküm yok."
"Vergi","kurumlar vergisi hesaplama","1","True","Parçalar mükellef tanımı/muafiyet içeriyor; matrah, oran veya hesaplama yöntemini doğrudan anlatan yeterli içerik yok."
"Vergi","motorlu tasitlar vergisi istisnasi","1","False","Parçalar MTVK'nın istisna maddesini içermiyor; sadece tanım, kapsam veya farklı kanun (KDV/ÖTV) hükümleri var."
"Vergi","ortulu sermaye ve kdv teslim","1","False","Örtülü sermaye ve KDV teslim tanımını doğrudan içeren parça yok; hepsi ilgisiz konular."
"Vergi","otv ilk iktisap","1","True","Hiçbir parça ÖTV ilk iktisap kuralını/tanımını doğrudan içermiyor; tamamen ilgisiz konular."
"Vergi","otv istisnasi kdv indirimi","1","False","Hiçbir parça ÖTV istisnası ve KDV indirimi ilişkisini doğrudan anlatmıyor; tarifeler, mükellef, MTV konuları işleniyor."
"Vergi","otv mukellefiyeti","1","False","Parçalar VUK tebliğ, komisyon ve süre hükümleri; ÖTV mükellefiyetiyle ilgisi yok."
"Vergi","repo kazanci vergilendirme","1","False","Hiçbir parça repo kazançlarının vergilendirilmesini (stopaj, oran, muafiyet) doğrudan anlatmıyor."
"Vergi","serbest meslek kazanci istisnasi","1","False","Hiçbir parça GVK m.18 serbest meslek kazancı istisnasının tanım/koşullarını içermiyor."
"Vergi","sermaye azaltimi vergilendirmesi","1","False","Hiçbir parça sermaye azaltımı vergilendirmesini doğrudan anlatmıyor; genel VUK/GVK/KVK hükümleri."
"Vergi","tahsil zamanasimi","1","False","Tahsil zamanaşımını doğrudan düzenleyen madde (m.102 vb.) pakette yok; m.26 iptal davası zamanaşımıdır, dolaylı."
"Vergi","tahsil zamanasimini kesen haller","1","False","Paket, zamanaşımını kesen halleri (VUK/AATUHK md.103 vb.) doğrudan düzenleyen bir madde içermiyor."
"Vergi","tasfiye beyannamesi","1","False","Hiçbir parça tasfiye beyannamesini doğrudan düzenlemiyor; sadece istisna/gelir vergisi hükümleri, tasfiye yan referanslı."
"Vergi","tasfiye beyannamesi suresi","1","False","Hiçbir parça tasfiye beyannamesi süresini düzenlemiyor; tasfiyeye dair istisna hükümleri ilgisiz."
"Vergi","telif kazanci stopaj hesabi","1","False","Hiçbir parça telif kazancı stopaj oranını/hesabını doğrudan anlatmıyor; sadece dolaylı/genel hükümler var."
"Vergi","ticari kazanc matrahi","1","False","Parçalar mükellefiyet, tebliğ, mahremiyet, elde etme yerini anlatıyor; ticari kazanç matrahı tespiti yok."
"Vergi","tutulmasi zorunlu defterler","1","False","Hiçbir parça tutulması zorunlu defterleri düzenlemiyor; VUK m.370, m.30, m.5, m.153/160A ve Harçlar Kanunu maddeleri konu dışı."
"Vergi","vergi ve ceza odeme zamanlari","1","False","Hiçbir parça vergi/ceza ödeme zamanlarını (vade, taksit, süre) doğrudan düzenlemiyor; farklı konular işleniyor."
"Vergi","vergiye uyumlu mukellef indirimi","1","False","Parçalar KDV, ÖTV, MTV ve Harçlar Kanunu maddeleri; vergiye uyumlu mükellef indirimini doğrudan içermiyor."
"Vergi","yurt disi kazanc mahsubu","1","True","Hiçbir parça yurt dışı kazanç mahsubu (GVK m.123 vb.) hükmünü doğrudan içermiyor; ilgisiz konular ele alınmış."
"Vergi","yurt ici asgari kurumlar vergisi","1","True","Hiçbir parça yurt içi asgari kurumlar vergisini doğrudan anlatmıyor; farklı konular işleniyor."
